review_id,star_rating,helpful_votes,total_votes,vine,verified_purchase
R1BL5C3FUDNHQ4,1,37,44,N,N
RA0ZRD503ZW78,1,0,99,N,N
R3D7C1OW2TAE6Z,1,21,63,N,Y
R2UFC1LSXPXDWH,4,62,65,N,N
R2VLG9BR32HD5W,1,21,26,N,Y
R3CU6SKJWLLNRG,5,23,26,N,Y
R3GSHGV9JYRBWT,1,1,26,N,N
R18VNDWL33ZIS7,5,34,41,N,N
R1AD1D14INY86Q,1,49,65,N,Y
R2NPZ79NDZ87XO,1,1,31,N,N
R33AKBEB645OK5,5,32,36,N,Y
R2VC4MYRA1JZC1,5,23,27,N,Y
R30Z5VG3VC0L3S,2,2,36,N,Y
R21UI5YVBPJ69U,5,47,49,N,Y
ROYMV4RNUKPLJ,1,28,32,N,N
R3UH3ODH0OWVM9,1,3,36,N,Y
R2CKIUJTE5H5P,3,18,25,N,N
R3UP9NCJQK49E5,1,20,32,N,N
R2DDCDA8FB3AL3,1,2,36,N,Y
R1ANS02ANNCDAN,1,2,25,N,Y
R2E05P3BL293K,2,23,32,N,Y
R1EE1UDQT1ZEIF,1,14,33,N,Y
RBH1JQ0F4C8JA,1,16,29,N,N
R326YE039DE09P,1,4,22,N,Y
R21CV05N40MATX,1,2,23,N,Y
R30ACU5S384DDY,1,3,26,N,Y
R27FIAQ39NLN4M,1,5,21,N,Y
R36J359O3NHPCM,1,16,28,N,Y
RXG1STB9TAQND,2,22,24,N,N
R2VMIB6A0502MQ,1,47,47,N,Y
R21VOUKBEYEBVB,1,16,24,N,Y
R1S04APARVOJ4L,4,18,22,N,Y
R3279YQMPT01O,1,28,37,N,Y
RPILRULHOKNDQ,5,19,20,N,N
ROBVI8YOBWSJ0,1,2,45,N,N
REWF1OC4K4HJ9,5,23,26,N,Y
RSA6IHQ4TIP8F,1,20,27,N,Y
RX63ZJABH23VW,5,109,140,N,N
R8AHFK51EH6PC,1,18,28,N,N
R1WIBQ3HHQ4O99,5,30,39,N,Y
R24PBSGVRTGKG,5,19,20,N,N
R18XDQV8PHXKLQ,1,3,43,N,N
RYOHFJI5ITIV3,1,1,41,N,N
RYO7LUPO2OHEU,1,15,23,N,N
R35MOFJDT67FR3,3,40,53,N,N
R38YG8C7R9W3XO,1,0,34,N,Y
R2AUE5JW48U5E8,1,8,27,N,Y
R3811K5CL29U3H,1,1,70,N,N
R2UD8UJ7I1AK2Z,1,2,39,N,N
R2G3FRI7RF86DA,3,12,21,N,N
R39LTY3YEZ6RAN,1,8,34,N,N
R3QMP3SDMLYTYE,5,28,35,N,Y
R9NW0C5BQDBNI,5,53,59,N,N
R11FHXPWZ0LTBG,2,45,47,N,Y
R3SWW77OXWE1WX,1,9,23,N,N
R1WU9L1K5QQR7U,2,17,30,N,N
R1SN1UZAIMDV1W,1,1,90,N,Y
R2U4CZ840U7HYP,1,16,22,N,N
R1NYGJTQMBEUYP,3,20,29,N,Y
RYW3RX5U6UVKT,1,28,38,N,N
R2TF47XY2GCXMU,3,1,51,N,N
R1QXQKD2WWK5Y5,1,71,85,N,Y
R2IFHDV0B6EB7H,5,39,50,N,N
R1Z6NY5QZWSIK9,1,19,196,N,N
R3LOGL6B6BXVTG,1,28,28,N,N
R5MEWA9QB3L07,1,39,41,N,N
R2UBAMRIB56KF9,1,6,36,N,N
RYAKRFJ9RPT3,5,87,89,N,Y
RWK4DGV5WZQ4H,1,33,36,N,N
R3T45JG5C4JTMF,3,13,27,N,N
R1NJ4DI2H428T0,1,8,99,N,N
R1FO7QI1S2YOK9,3,43,55,N,N
R2RQKMWZMLROH0,1,15,64,N,Y
R350PLZT86NQJR,4,46,55,N,Y
R1LYQDWCVGSMC9,1,7,180,N,N
R272LFF3F52EYN,3,1,93,N,N
RSL8NJ764PF0X,1,5,51,N,N
R236265WE9SIQA,4,72,77,N,Y
R1SVQXZF8JWH3P,1,29,34,N,N
RTYP3YT9RLJXD,1,5,186,N,N
